Nick,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Laptime
Stefan,00:05.00,00:06.01,00:07.01,00:08.01,00:12.02
Stefan,00:03.03,00:04.00,00:05.07,00:07.00,00:13.02
Stefan,00:06.05,00:07.00,00:08.01,00:09.00,00:11.00
Stefan,00:03.02,00:07.06,00:12.01,00:13.02,00:18.00
Stefan,00:03.08,00:04.01,00:05.02,00:06.01,00:08.06
Stefan,00:02.05,00:03.02,00:04.09,00:05.06,00:06.05
Stefan,00:02.08,00:03.05,00:04.02,00:05.09,00:12.09
Stefan,00:03.09,00:04.09,00:05.09,00:06.09,00:13.09
Stefan,00:03.09,00:04.09,00:05.09,00:06.09,00:11.09
Stefan,00:03.09,00:04.09,00:05.09,00:06.09,00:07.07
Stefan,00:03.07,00:04.07,00:05.07,00:57.07,01:00.04
Stefan,00:03.03,00:06.06,00:07.03,00:09.00,00:12.08
Stefan,00:19.01,00:20.08,00:21.02,00:22.02,01:04.01
Stefan,00:06.05,00:07.05,00:08.04,00:09.04,00:13.00
Stefan,00:05.02,00:06.09,00:07.08,00:08.09,00:11.09
Stefan,00:03.03,00:04.00,00:05.07,00:06.04,00:09.07
Stefan,00:02.05,00:03.05,00:04.05,00:05.05,00:07.09
Stefan,00:02.03,00:03.00,00:04.06,00:05.03,00:06.03
Stefan,00:03.08,00:04.02,00:05.02,00:06.02,00:07.04
Stefan,00:02.01,00:03.08,00:04.00,00:05.00,00:07.05
Stefan,00:02.05,00:03.01,00:04.05,00:05.05,00:07.05
Stefan,00:02.05,00:03.01,00:04.05,00:05.05,00:06.03
Stefan,00:02.05,00:03.01,00:04.05,00:05.05,00:07.01
Stefan,00:02.05,00:03.05,00:04.05,00:05.05,02:01.01
Stefan,00:07.04,00:08.01,00:09.08,00:10.08,00:14.06
Stefan,00:02.07,00:03.07,00:04.07,00:05.07,01:01.01
Stefan,00:02.07,00:03.07,00:04.07,00:05.07,01:01.00
Stefan,00:02.09,00:03.06,00:04.00,00:05.00,01:02.09
Stefan,00:07.01,00:08.08,00:09.05,00:10.02,01:02.05
Stefan,00:04.03,00:05.00,00:05.07,00:06.04,01:05.05
